"Statistic","Annual","Local Government Districts","Components of Change","UNIT","VALUE"
"Components of population change - Local Government Districts","2017-2018","Mid Ulster","United Kingdom Net","Count","36"
"Components of population change - Local Government Districts","2017-2018","Mid Ulster","Rest of world Inflows","Count","969"
"Components of population change - Local Government Districts","2017-2018","Mid Ulster","Rest of world Outflows","Count","506"
"Components of population change - Local Government Districts","2017-2018","Mid Ulster","Rest of world Net","Count","463"
"Components of population change - Local Government Districts","2017-2018","Mid Ulster","Total Inflows","Count","4603"
"Components of population change - Local Government Districts","2017-2018","Mid Ulster","Total Outflows","Count","4402"
"Components of population change - Local Government Districts","2017-2018","Mid Ulster","Total Net","Count","201"
"Components of population change - Local Government Districts","2017-2018","Mid Ulster","Other changes","Count","-259"
"Components of population change - Local Government Districts","2017-2018","Mid Ulster","Migration and other changes","Count","-58"
"Components of population change - Local Government Districts","2017-2018","Mid Ulster","End population","Count","147392"
"Components of population change - Local Government Districts","2017-2018","Newry, Mourne and Down","Starting population","Count","178996"
"Components of population change - Local Government Districts","2017-2018","Newry, Mourne and Down","Births","Count","2323"
"Components of population change - Local Government Districts","2017-2018","Newry, Mourne and Down","Deaths","Count","1387"
"Components of population change - Local Government Districts","2017-2018","Newry, Mourne and Down","Natural Change","Count","936"
"Components of population change - Local Government Districts","2017-2018","Newry, Mourne and Down","Internal Inflows","Count","3430"
"Components of population change - Local Government Districts","2017-2018","Newry, Mourne and Down","Internal Outflows","Count","3706"
"Components of population change - Local Government Districts","2017-2018","Newry, Mourne and Down","Internal Net","Count","-276"
"Components of population change - Local Government Districts","2017-2018","Newry, Mourne and Down","United Kingdom Inflows","Count","845"
"Components of population change - Local Government Districts","2017-2018","Newry, Mourne and Down","United Kingdom Outflows","Count","812"
"Components of population change - Local Government Districts","2017-2018","Newry, Mourne and Down","United Kingdom Net","Count","33"
"Components of population change - Local Government Districts","2017-2018","Newry, Mourne and Down","Rest of world Inflows","Count","1141"
"Components of population change - Local Government Districts","2017-2018","Newry, Mourne and Down","Rest of world Outflows","Count","673"
"Components of population change - Local Government Districts","2017-2018","Newry, Mourne and Down","Rest of world Net","Count","468"
"Components of population change - Local Government Districts","2017-2018","Newry, Mourne and Down","Total Inflows","Count","5416"
"Components of population change - Local Government Districts","2017-2018","Newry, Mourne and Down","Total Outflows","Count","5191"
"Components of population change - Local Government Districts","2017-2018","Newry, Mourne and Down","Total Net","Count","225"
"Components of population change - Local Government Districts","2017-2018","Newry, Mourne and Down","Other changes","Count","-145"
"Components of population change - Local Government Districts","2017-2018","Newry, Mourne and Down","Migration and other changes","Count","80"
"Components of population change - Local Government Districts","2017-2018","Newry, Mourne and Down","End population","Count","180012"
"Components of population change - Local Government Districts","2017-2018","Ards and North Down","Starting population","Count","160098"
"Components of population change - Local Government Districts","2017-2018","Ards and North Down","Births","Count","1492"
"Components of population change - Local Government Districts","2017-2018","Ards and North Down","Deaths","Count","1650"
"Components of population change - Local Government Districts","2017-2018","Ards and North Down","Natural Change","Count","-158"
"Components of population change - Local Government Districts","2017-2018","Ards and North Down","Internal Inflows","Count","3038"
"Components of population change - Local Government Districts","2017-2018","Ards and North Down","Internal Outflows","Count","2425"
"Components of population change - Local Government Districts","2017-2018","Ards and North Down","Internal Net","Count","613"
"Components of population change - Local Government Districts","2017-2018","Ards and North Down","United Kingdom Inflows","Count","1158"
"Components of population change - Local Government Districts","2017-2018","Ards and North Down","United Kingdom Outflows","Count","1122"
"Components of population change - Local Government Districts","2017-2018","Ards and North Down","United Kingdom Net","Count","36"
"Components of population change - Local Government Districts","2017-2018","Ards and North Down","Rest of world Inflows","Count","523"
"Components of population change - Local Government Districts","2017-2018","Ards and North Down","Rest of world Outflows","Count","334"
"Components of population change - Local Government Districts","2017-2018","Ards and North Down","Rest of world Net","Count","189"
"Components of population change - Local Government Districts","2017-2018","Ards and North Down","Total Inflows","Count","4719"
"Components of population change - Local Government Districts","2017-2018","Ards and North Down","Total Outflows","Count","3881"
"Components of population change - Local Government Districts","2017-2018","Ards and North Down","Total Net","Count","838"
"Components of population change - Local Government Districts","2017-2018","Ards and North Down","Other changes","Count","86"
"Components of population change - Local Government Districts","2017-2018","Ards and North Down","Migration and other changes","Count","924"
"Components of population change - Local Government Districts","2017-2018","Ards and North Down","End population","Count","160864"
"Components of population change - Local Government Districts","2018-2019","Antrim and Newtownabbey","Starting population","Count","142492"
"Components of population change - Local Government Districts","2018-2019","Antrim and Newtownabbey","Births","Count","1629"
"Components of population change - Local Government Districts","2018-2019","Antrim and Newtownabbey","Deaths","Count","1134"
"Components of population change - Local Government Districts","2018-2019","Antrim and Newtownabbey","Natural Change","Count","495"
"Components of population change - Local Government Districts","2018-2019","Antrim and Newtownabbey","Internal Inflows","Count","4066"
"Components of population change - Local Government Districts","2018-2019","Antrim and Newtownabbey","Internal Outflows","Count","3622"
"Components of population change - Local Government Districts","2018-2019","Antrim and Newtownabbey","Internal Net","Count","444"
"Components of population change - Local Government Districts","2018-2019","Antrim and Newtownabbey","United Kingdom Inflows","Count","701"
"Components of population change - Local Government Districts","2018-2019","Antrim and Newtownabbey","United Kingdom Outflows","Count","674"
"Components of population change - Local Government Districts","2018-2019","Antrim and Newtownabbey","United Kingdom Net","Count","27"
"Components of population change - Local Government Districts","2018-2019","Antrim and Newtownabbey","Rest of world Inflows","Count","745"
"Components of population change - Local Government Districts","2018-2019","Antrim and Newtownabbey","Rest of world Outflows","Count","543"
"Components of population change - Local Government Districts","2018-2019","Antrim and Newtownabbey","Rest of world Net","Count","202"
"Components of population change - Local Government Districts","2018-2019","Antrim and Newtownabbey","Total Inflows","Count","5512"
"Components of population change - Local Government Districts","2018-2019","Antrim and Newtownabbey","Total Outflows","Count","4839"
"Components of population change - Local Government Districts","2018-2019","Antrim and Newtownabbey","Total Net","Count","673"
"Components of population change - Local Government Districts","2018-2019","Antrim and Newtownabbey","Other changes","Count","-156"
"Components of population change - Local Government Districts","2018-2019","Antrim and Newtownabbey","Migration and other changes","Count","517"
"Components of population change - Local Government Districts","2018-2019","Antrim and Newtownabbey","End population","Count","143504"
"Components of population change - Local Government Districts","2018-2019","Armagh City, Banbridge and Craigavon","Starting population","Count","214090"
"Components of population change - Local Government Districts","2018-2019","Armagh City, Banbridge and Craigavon","Births","Count","2776"
"Components of population change - Local Government Districts","2018-2019","Armagh City, Banbridge and Craigavon","Deaths","Count","1536"
"Components of population change - Local Government Districts","2018-2019","Armagh City, Banbridge and Craigavon","Natural Change","Count","1240"
"Components of population change - Local Government Districts","2018-2019","Armagh City, Banbridge and Craigavon","Internal Inflows","Count","4083"
"Components of population change - Local Government Districts","2018-2019","Armagh City, Banbridge and Craigavon","Internal Outflows","Count","4093"
"Components of population change - Local Government Districts","2018-2019","Armagh City, Banbridge and Craigavon","Internal Net","Count","-10"
"Components of population change - Local Government Districts","2018-2019","Armagh City, Banbridge and Craigavon","United Kingdom Inflows","Count","1055"
"Components of population change - Local Government Districts","2018-2019","Armagh City, Banbridge and Craigavon","United Kingdom Outflows","Count","973"
"Components of population change - Local Government Districts","2018-2019","Armagh City, Banbridge and Craigavon","United Kingdom Net","Count","82"
"Components of population change - Local Government Districts","2018-2019","Armagh City, Banbridge and Craigavon","Rest of world Inflows","Count","1829"
"Components of population change - Local Government Districts","2018-2019","Armagh City, Banbridge and Craigavon","Rest of world Outflows","Count","837"
"Components of population change - Local Government Districts","2018-2019","Armagh City, Banbridge and Craigavon","Rest of world Net","Count","992"
"Components of population change - Local Government Districts","2018-2019","Armagh City, Banbridge and Craigavon","Total Inflows","Count","6967"
"Components of population change - Local Government Districts","2018-2019","Armagh City, Banbridge and Craigavon","Total Outflows","Count","5903"
"Components of population change - Local Government Districts","2018-2019","Armagh City, Banbridge and Craigavon","Total Net","Count","1064"
"Components of population change - Local Government Districts","2018-2019","Armagh City, Banbridge and Craigavon","Other changes","Count","-189"
"Components of population change - Local Government Districts","2018-2019","Armagh City, Banbridge and Craigavon","Migration and other changes","Count","875"
"Components of population change - Local Government Districts","2018-2019","Armagh City, Banbridge and Craigavon","End population","Count","216205"
"Components of population change - Local Government Districts","2018-2019","Belfast","Starting population","Count","341877"
"Components of population change - Local Government Districts","2018-2019","Belfast","Births","Count","4237"
"Components of population change - Local Government Districts","2018-2019","Belfast","Deaths","Count","3132"
"Components of population change - Local Government Districts","2018-2019","Belfast","Natural Change","Count","1105"
"Components of population change - Local Government Districts","2018-2019","Belfast","Internal Inflows","Count","13938"
"Components of population change - Local Government Districts","2018-2019","Belfast","Internal Outflows","Count","14973"
"Components of population change - Local Government Districts","2018-2019","Belfast","Internal Net","Count","-1035"
"Components of population change - Local Government Districts","2018-2019","Belfast","United Kingdom Inflows","Count","2841"
"Components of population change - Local Government Districts","2018-2019","Belfast","United Kingdom Outflows","Count","2470"
"Components of population change - Local Government Districts","2018-2019","Belfast","United Kingdom Net","Count","371"
"Components of population change - Local Government Districts","2018-2019","Belfast","Rest of world Inflows","Count","5660"
"Components of population change - Local Government Districts","2018-2019","Belfast","Rest of world Outflows","Count","5040"
"Components of population change - Local Government Districts","2018-2019","Belfast","Rest of world Net","Count","620"
"Components of population change - Local Government Districts","2018-2019","Belfast","Total Inflows","Count","22439"
"Components of population change - Local Government Districts","2018-2019","Belfast","Total Outflows","Count","22483"
"Components of population change - Local Government Districts","2018-2019","Belfast","Total Net","Count","-44"
"Components of population change - Local Government Districts","2018-2019","Belfast","Other changes","Count","604"
"Components of population change - Local Government Districts","2018-2019","Belfast","Migration and other changes","Count","560"
"Components of population change - Local Government Districts","2018-2019","Belfast","End population","Count","343542"
"Components of population change - Local Government Districts","2018-2019","Causeway Coast and Glens","Starting population","Count","144246"
"Components of population change - Local Government Districts","2018-2019","Causeway Coast and Glens","Births","Count","1557"
"Components of population change - Local Government Districts","2018-2019","Causeway Coast and Glens","Deaths","Count","1211"
"Components of population change - Local Government Districts","2018-2019","Causeway Coast and Glens","Natural Change","Count","346"
"Components of population change - Local Government Districts","2018-2019","Causeway Coast and Glens","Internal Inflows","Count","3737"
"Components of population change - Local Government Districts","2018-2019","Causeway Coast and Glens","Internal Outflows","Count","3546"
"Components of population change - Local Government Districts","2018-2019","Causeway Coast and Glens","Internal Net","Count","191"
"Components of population change - Local Government Districts","2018-2019","Causeway Coast and Glens","United Kingdom Inflows","Count","881"
"Components of population change - Local Government Districts","2018-2019","Causeway Coast and Glens","United Kingdom Outflows","Count","772"
"Components of population change - Local Government Districts","2018-2019","Causeway Coast and Glens","United Kingdom Net","Count","109"
"Components of population change - Local Government Districts","2018-2019","Causeway Coast and Glens","Rest of world Inflows","Count","414"
"Components of population change - Local Government Districts","2018-2019","Causeway Coast and Glens","Rest of world Outflows","Count","493"
"Components of population change - Local Government Districts","2018-2019","Causeway Coast and Glens","Rest of world Net","Count","-79"
"Components of population change - Local Government Districts","2018-2019","Causeway Coast and Glens","Total Inflows","Count","5032"
"Components of population change - Local Government Districts","2018-2019","Causeway Coast and Glens","Total Outflows","Count","4811"
"Components of population change - Local Government Districts","2018-2019","Causeway Coast and Glens","Total Net","Count","221"
"Components of population change - Local Government Districts","2018-2019","Causeway Coast and Glens","Other changes","Count","25"
"Components of population change - Local Government Districts","2018-2019","Causeway Coast and Glens","Migration and other changes","Count","246"
"Components of population change - Local Government Districts","2018-2019","Causeway Coast and Glens","End population","Count","144838"
"Components of population change - Local Government Districts","2018-2019","Derry City and Strabane","Starting population","Count","150679"
"Components of population change - Local Government Districts","2018-2019","Derry City and Strabane","Births","Count","1879"
"Components of population change - Local Government Districts","2018-2019","Derry City and Strabane","Deaths","Count","1190"
"Components of population change - Local Government Districts","2018-2019","Derry City and Strabane","Natural Change","Count","689"
"Components of population change - Local Government Districts","2018-2019","Derry City and Strabane","Internal Inflows","Count","2886"
"Components of population change - Local Government Districts","2018-2019","Derry City and Strabane","Internal Outflows","Count","3117"
"Components of population change - Local Government Districts","2018-2019","Derry City and Strabane","Internal Net","Count","-231"
"Components of population change - Local Government Districts","2018-2019","Derry City and Strabane","United Kingdom Inflows","Count","909"
"Components of population change - Local Government Districts","2018-2019","Derry City and Strabane","United Kingdom Outflows","Count","878"
"Components of population change - Local Government Districts","2018-2019","Derry City and Strabane","United Kingdom Net","Count","31"
"Components of population change - Local Government Districts","2018-2019","Derry City and Strabane","Rest of world Inflows","Count","589"
"Components of population change - Local Government Districts","2018-2019","Derry City and Strabane","Rest of world Outflows","Count","566"
"Components of population change - Local Government Districts","2018-2019","Derry City and Strabane","Rest of world Net","Count","23"
"Components of population change - Local Government Districts","2018-2019","Derry City and Strabane","Total Inflows","Count","4384"
"Components of population change - Local Government Districts","2018-2019","Derry City and Strabane","Total Outflows","Count","4561"
"Components of population change - Local Government Districts","2018-2019","Derry City and Strabane","Total Net","Count","-177"
"Components of population change - Local Government Districts","2018-2019","Derry City and Strabane","Other changes","Count","93"
"Components of population change - Local Government Districts","2018-2019","Derry City and Strabane","Migration and other changes","Count","-84"
"Components of population change - Local Government Districts","2018-2019","Derry City and Strabane","End population","Count","151284"
"Components of population change - Local Government Districts","2018-2019","Fermanagh and Omagh","Starting population","Count","116835"
"Components of population change - Local Government Districts","2018-2019","Fermanagh and Omagh","Births","Count","1413"
"Components of population change - Local Government Districts","2018-2019","Fermanagh and Omagh","Deaths","Count","926"
"Components of population change - Local Government Districts","2018-2019","Fermanagh and Omagh","Natural Change","Count","487"
"Components of population change - Local Government Districts","2018-2019","Fermanagh and Omagh","Internal Inflows","Count","2182"
"Components of population change - Local Government Districts","2018-2019","Fermanagh and Omagh","Internal Outflows","Count","2686"
"Components of population change - Local Government Districts","2018-2019","Fermanagh and Omagh","Internal Net","Count","-504"
"Components of population change - Local Government Districts","2018-2019","Fermanagh and Omagh","United Kingdom Inflows","Count","719"
"Components of population change - Local Government Districts","2018-2019","Fermanagh and Omagh","United Kingdom Outflows","Count","582"
"Components of population change - Local Government Districts","2018-2019","Fermanagh and Omagh","United Kingdom Net","Count","137"
"Components of population change - Local Government Districts","2018-2019","Fermanagh and Omagh","Rest of world Inflows","Count","861"
"Components of population change - Local Government Districts","2018-2019","Fermanagh and Omagh","Rest of world Outflows","Count","453"
"Components of population change - Local Government Districts","2018-2019","Fermanagh and Omagh","Rest of world Net","Count","408"
"Components of population change - Local Government Districts","2018-2019","Fermanagh and Omagh","Total Inflows","Count","3762"
"Components of population change - Local Government Districts","2018-2019","Fermanagh and Omagh","Total Outflows","Count","3721"
"Components of population change - Local Government Districts","2018-2019","Fermanagh and Omagh","Total Net","Count","41"
"Components of population change - Local Government Districts","2018-2019","Fermanagh and Omagh","Other changes","Count","34"
"Components of population change - Local Government Districts","2018-2019","Fermanagh and Omagh","Migration and other changes","Count","75"
"Components of population change - Local Government Districts","2018-2019","Fermanagh and Omagh","End population","Count","117397"
"Components of population change - Local Government Districts","2018-2019","Lisburn and Castlereagh","Starting population","Count","144381"
"Components of population change - Local Government Districts","2018-2019","Lisburn and Castlereagh","Births","Count","1771"
"Components of population change - Local Government Districts","2018-2019","Lisburn and Castlereagh","Deaths","Count","1118"
"Components of population change - Local Government Districts","2018-2019","Lisburn and Castlereagh","Natural Change","Count","653"
"Components of population change - Local Government Districts","2018-2019","Lisburn and Castlereagh","Internal Inflows","Count","5411"
"Components of population change - Local Government Districts","2018-2019","Lisburn and Castlereagh","Internal Outflows","Count","4408"
"Components of population change - Local Government Districts","2018-2019","Lisburn and Castlereagh","Internal Net","Count","1003"
"Components of population change - Local Government Districts","2018-2019","Lisburn and Castlereagh","United Kingdom Inflows","Count","930"
"Components of population change - Local Government Districts","2018-2019","Lisburn and Castlereagh","United Kingdom Outflows","Count","914"
"Components of population change - Local Government Districts","2018-2019","Lisburn and Castlereagh","United Kingdom Net","Count","16"
"Components of population change - Local Government Districts","2018-2019","Lisburn and Castlereagh","Rest of world Inflows","Count","528"
"Components of population change - Local Government Districts","2018-2019","Lisburn and Castlereagh","Rest of world Outflows","Count","456"
"Components of population change - Local Government Districts","2018-2019","Lisburn and Castlereagh","Rest of world Net","Count","72"
"Components of population change - Local Government Districts","2018-2019","Lisburn and Castlereagh","Total Inflows","Count","6869"
"Components of population change - Local Government Districts","2018-2019","Lisburn and Castlereagh","Total Outflows","Count","5778"
"Components of population change - Local Government Districts","2018-2019","Lisburn and Castlereagh","Total Net","Count","1091"
"Components of population change - Local Government Districts","2018-2019","Lisburn and Castlereagh","Other changes","Count","-123"
"Components of population change - Local Government Districts","2018-2019","Lisburn and Castlereagh","Migration and other changes","Count","968"
"Components of population change - Local Government Districts","2018-2019","Lisburn and Castlereagh","End population","Count","146002"
"Components of population change - Local Government Districts","2018-2019","Mid and East Antrim","Starting population","Count","138773"
"Components of population change - Local Government Districts","2018-2019","Mid and East Antrim","Births","Count","1438"
"Components of population change - Local Government Districts","2018-2019","Mid and East Antrim","Deaths","Count","1254"
"Components of population change - Local Government Districts","2018-2019","Mid and East Antrim","Natural Change","Count","184"
"Components of population change - Local Government Districts","2018-2019","Mid and East Antrim","Internal Inflows","Count","2923"
"Components of population change - Local Government Districts","2018-2019","Mid and East Antrim","Internal Outflows","Count","3000"
"Components of population change - Local Government Districts","2018-2019","Mid and East Antrim","Internal Net","Count","-77"
"Components of population change - Local Government Districts","2018-2019","Mid and East Antrim","United Kingdom Inflows","Count","711"
"Components of population change - Local Government Districts","2018-2019","Mid and East Antrim","United Kingdom Outflows","Count","649"
"Components of population change - Local Government Districts","2018-2019","Mid and East Antrim","United Kingdom Net","Count","62"
"Components of population change - Local Government Districts","2018-2019","Mid and East Antrim","Rest of world Inflows","Count","808"
"Components of population change - Local Government Districts","2018-2019","Mid and East Antrim","Rest of world Outflows","Count","510"
"Components of population change - Local Government Districts","2018-2019","Mid and East Antrim","Rest of world Net","Count","298"
"Components of population change - Local Government Districts","2018-2019","Mid and East Antrim","Total Inflows","Count","4442"
"Components of population change - Local Government Districts","2018-2019","Mid and East Antrim","Total Outflows","Count","4159"
"Components of population change - Local Government Districts","2018-2019","Mid and East Antrim","Total Net","Count","283"
"Components of population change - Local Government Districts","2018-2019","Mid and East Antrim","Other changes","Count","34"
"Components of population change - Local Government Districts","2018-2019","Mid and East Antrim","Migration and other changes","Count","317"
"Components of population change - Local Government Districts","2018-2019","Mid and East Antrim","End population","Count","139274"
"Components of population change - Local Government Districts","2018-2019","Mid Ulster","Starting population","Count","147392"
"Components of population change - Local Government Districts","2018-2019","Mid Ulster","Births","Count","2033"
"Components of population change - Local Government Districts","2018-2019","Mid Ulster","Deaths","Count","1018"
"Components of population change - Local Government Districts","2018-2019","Mid Ulster","Natural Change","Count","1015"
"Components of population change - Local Government Districts","2018-2019","Mid Ulster","Internal Inflows","Count","3230"
"Components of population change - Local Government Districts","2018-2019","Mid Ulster","Internal Outflows","Count","3442"
"Components of population change - Local Government Districts","2018-2019","Mid Ulster","Internal Net","Count","-212"
"Components of population change - Local Government Districts","2018-2019","Mid Ulster","United Kingdom Inflows","Count","527"
"Components of population change - Local Government Districts","2018-2019","Mid Ulster","United Kingdom Outflows","Count","509"
"Components of population change - Local Government Districts","2018-2019","Mid Ulster","United Kingdom Net","Count","18"
"Components of population change - Local Government Districts","2018-2019","Mid Ulster","Rest of world Inflows","Count","1141"
"Components of population change - Local Government Districts","2018-2019","Mid Ulster","Rest of world Outflows","Count","595"
"Components of population change - Local Government Districts","2018-2019","Mid Ulster","Rest of world Net","Count","546"
"Components of population change - Local Government Districts","2018-2019","Mid Ulster","Total Inflows","Count","4898"
"Components of population change - Local Government Districts","2018-2019","Mid Ulster","Total Outflows","Count","4546"
"Components of population change - Local Government Districts","2018-2019","Mid Ulster","Total Net","Count","352"
"Components of population change - Local Government Districts","2018-2019","Mid Ulster","Other changes","Count","-231"
"Components of population change - Local Government Districts","2018-2019","Mid Ulster","Migration and other changes","Count","121"
"Components of population change - Local Government Districts","2018-2019","Mid Ulster","End population","Count","148528"
"Components of population change - Local Government Districts","2018-2019","Newry, Mourne and Down","Starting population","Count","180012"
"Components of population change - Local Government Districts","2018-2019","Newry, Mourne and Down","Births","Count","2372"
"Components of population change - Local Government Districts","2018-2019","Newry, Mourne and Down","Deaths","Count","1350"
"Components of population change - Local Government Districts","2018-2019","Newry, Mourne and Down","Natural Change","Count","1022"
"Components of population change - Local Government Districts","2018-2019","Newry, Mourne and Down","Internal Inflows","Count","3423"
"Components of population change - Local Government Districts","2018-2019","Newry, Mourne and Down","Internal Outflows","Count","3535"
"Components of population change - Local Government Districts","2018-2019","Newry, Mourne and Down","Internal Net","Count","-112"
"Components of population change - Local Government Districts","2018-2019","Newry, Mourne and Down","United Kingdom Inflows","Count","958"
"Components of population change - Local Government Districts","2018-2019","Newry, Mourne and Down","United Kingdom Outflows","Count","816"
"Components of population change - Local Government Districts","2018-2019","Newry, Mourne and Down","United Kingdom Net","Count","142"
"Components of population change - Local Government Districts","2018-2019","Newry, Mourne and Down","Rest of world Inflows","Count","1124"
"Components of population change - Local Government Districts","2018-2019","Newry, Mourne and Down","Rest of world Outflows","Count","637"
"Components of population change - Local Government Districts","2018-2019","Newry, Mourne and Down","Rest of world Net","Count","487"
"Components of population change - Local Government Districts","2018-2019","Newry, Mourne and Down","Total Inflows","Count","5505"
"Components of population change - Local Government Districts","2018-2019","Newry, Mourne and Down","Total Outflows","Count","4988"
"Components of population change - Local Government Districts","2018-2019","Newry, Mourne and Down","Total Net","Count","517"
"Components of population change - Local Government Districts","2018-2019","Newry, Mourne and Down","Other changes","Count","-183"
"Components of population change - Local Government Districts","2018-2019","Newry, Mourne and Down","Migration and other changes","Count","334"
"Components of population change - Local Government Districts","2018-2019","Newry, Mourne and Down","End population","Count","181368"
"Components of population change - Local Government Districts","2018-2019","Ards and North Down","Starting population","Count","160864"
"Components of population change - Local Government Districts","2018-2019","Ards and North Down","Births","Count","1542"
"Components of population change - Local Government Districts","2018-2019","Ards and North Down","Deaths","Count","1480"
"Components of population change - Local Government Districts","2018-2019","Ards and North Down","Natural Change","Count","62"
"Components of population change - Local Government Districts","2018-2019","Ards and North Down","Internal Inflows","Count","2961"
"Components of population change - Local Government Districts","2018-2019","Ards and North Down","Internal Outflows","Count","2418"
"Components of population change - Local Government Districts","2018-2019","Ards and North Down","Internal Net","Count","543"
"Components of population change - Local Government Districts","2018-2019","Ards and North Down","United Kingdom Inflows","Count","1215"
"Components of population change - Local Government Districts","2018-2019","Ards and North Down","United Kingdom Outflows","Count","1096"
"Components of population change - Local Government Districts","2018-2019","Ards and North Down","United Kingdom Net","Count","119"
"Components of population change - Local Government Districts","2018-2019","Ards and North Down","Rest of world Inflows","Count","492"
"Components of population change - Local Government Districts","2018-2019","Ards and North Down","Rest of world Outflows","Count","348"
"Components of population change - Local Government Districts","2018-2019","Ards and North Down","Rest of world Net","Count","144"
"Components of population change - Local Government Districts","2018-2019","Ards and North Down","Total Inflows","Count","4668"
"Components of population change - Local Government Districts","2018-2019","Ards and North Down","Total Outflows","Count","3862"
"Components of population change - Local Government Districts","2018-2019","Ards and North Down","Total Net","Count","806"
"Components of population change - Local Government Districts","2018-2019","Ards and North Down","Other changes","Count","-7"
"Components of population change - Local Government Districts","2018-2019","Ards and North Down","Migration and other changes","Count","799"
"Components of population change - Local Government Districts","2018-2019","Ards and North Down","End population","Count","161725"
"Components of population change - Local Government Districts","2019-2020","Antrim and Newtownabbey","Starting population","Count","143504"
"Components of population change - Local Government Districts","2019-2020","Antrim and Newtownabbey","Births","Count","1620"
"Components of population change - Local Government Districts","2019-2020","Antrim and Newtownabbey","Deaths","Count","1285"
"Components of population change - Local Government Districts","2019-2020","Antrim and Newtownabbey","Natural Change","Count","335"
"Components of population change - Local Government Districts","2019-2020","Antrim and Newtownabbey","Internal Inflows","Count","3231"
"Components of population change - Local Government Districts","2019-2020","Antrim and Newtownabbey","Internal Outflows","Count","3260"
"Components of population change - Local Government Districts","2019-2020","Antrim and Newtownabbey","Internal Net","Count","-29"
"Components of population change - Local Government Districts","2019-2020","Antrim and Newtownabbey","United Kingdom Inflows","Count","692"
"Components of population change - Local Government Districts","2019-2020","Antrim and Newtownabbey","United Kingdom Outflows","Count","701"
"Components of population change - Local Government Districts","2019-2020","Antrim and Newtownabbey","United Kingdom Net","Count","-9"
"Components of population change - Local Government Districts","2019-2020","Antrim and Newtownabbey","Rest of world Inflows","Count","556"
"Components of population change - Local Government Districts","2019-2020","Antrim and Newtownabbey","Rest of world Outflows","Count","630"
"Components of population change - Local Government Districts","2019-2020","Antrim and Newtownabbey","Rest of world Net","Count","-74"
"Components of population change - Local Government Districts","2019-2020","Antrim and Newtownabbey","Total Inflows","Count","4479"
"Components of population change - Local Government Districts","2019-2020","Antrim and Newtownabbey","Total Outflows","Count","4591"
"Components of population change - Local Government Districts","2019-2020","Antrim and Newtownabbey","Total Net","Count","-112"
"Components of population change - Local Government Districts","2019-2020","Antrim and Newtownabbey","Other changes","Count","29"
"Components of population change - Local Government Districts","2019-2020","Antrim and Newtownabbey","Migration and other changes","Count","-83"
"Components of population change - Local Government Districts","2019-2020","Antrim and Newtownabbey","End population","Count","143756"
"Components of population change - Local Government Districts","2019-2020","Armagh City, Banbridge and Craigavon","Starting population","Count","216205"
"Components of population change - Local Government Districts","2019-2020","Armagh City, Banbridge and Craigavon","Births","Count","2668"
"Components of population change - Local Government Districts","2019-2020","Armagh City, Banbridge and Craigavon","Deaths","Count","1622"
"Components of population change - Local Government Districts","2019-2020","Armagh City, Banbridge and Craigavon","Natural Change","Count","1046"
"Components of population change - Local Government Districts","2019-2020","Armagh City, Banbridge and Craigavon","Internal Inflows","Count","3774"
"Components of population change - Local Government Districts","2019-2020","Armagh City, Banbridge and Craigavon","Internal Outflows","Count","3646"
"Components of population change - Local Government Districts","2019-2020","Armagh City, Banbridge and Craigavon","Internal Net","Count","128"
"Components of population change - Local Government Districts","2019-2020","Armagh City, Banbridge and Craigavon","United Kingdom Inflows","Count","906"
"Components of population change - Local Government Districts","2019-2020","Armagh City, Banbridge and Craigavon","United Kingdom Outflows","Count","1015"
"Components of population change - Local Government Districts","2019-2020","Armagh City, Banbridge and Craigavon","United Kingdom Net","Count","-109"
"Components of population change - Local Government Districts","2019-2020","Armagh City, Banbridge and Craigavon","Rest of world Inflows","Count","1439"
"Components of population change - Local Government Districts","2019-2020","Armagh City, Banbridge and Craigavon","Rest of world Outflows","Count","1135"
"Components of population change - Local Government Districts","2019-2020","Armagh City, Banbridge and Craigavon","Rest of world Net","Count","304"
"Components of population change - Local Government Districts","2019-2020","Armagh City, Banbridge and Craigavon","Total Inflows","Count","6119"
"Components of population change - Local Government Districts","2019-2020","Armagh City, Banbridge and Craigavon","Total Outflows","Count","5796"
"Components of population change - Local Government Districts","2019-2020","Armagh City, Banbridge and Craigavon","Total Net","Count","323"
"Components of population change - Local Government Districts","2019-2020","Armagh City, Banbridge and Craigavon","Other changes","Count","-342"
"Components of population change - Local Government Districts","2019-2020","Armagh City, Banbridge and Craigavon","Migration and other changes","Count","-19"
"Components of population change - Local Government Districts","2019-2020","Armagh City, Banbridge and Craigavon","End population","Count","217232"
"Components of population change - Local Government Districts","2019-2020","Belfast","Starting population","Count","343542"
"Components of population change - Local Government Districts","2019-2020","Belfast","Births","Count","4053"
"Components of population change - Local Government Districts","2019-2020","Belfast","Deaths","Count","3451"
"Components of population change - Local Government Districts","2019-2020","Belfast","Natural Change","Count","602"
"Components of population change - Local Government Districts","2019-2020","Belfast","Internal Inflows","Count","13210"
"Components of population change - Local Government Districts","2019-2020","Belfast","Internal Outflows","Count","13937"
"Components of population change - Local Government Districts","2019-2020","Belfast","Internal Net","Count","-727"
"Components of population change - Local Government Districts","2019-2020","Belfast","United Kingdom Inflows","Count","2455"
"Components of population change - Local Government Districts","2019-2020","Belfast","United Kingdom Outflows","Count","3026"
